emoji,name,group,subgroup,literal,clarity,keep
🤌🏿,pinched fingers: dark skin tone,People & Body,hand-fingers-partial,pinched-fingers,,
🤏,pinching hand,People & Body,hand-fingers-partial,pinch,,
🤏🏻,pinching hand: light skin tone,People & Body,hand-fingers-partial,pinch,,
🤏🏼,pinching hand: medium-light skin tone,People & Body,hand-fingers-partial,pinch,,
🤏🏽,pinching hand: medium skin tone,People & Body,hand-fingers-partial,pinch,,
🤏🏾,pinching hand: medium-dark skin tone,People & Body,hand-fingers-partial,pinch,,
🤏🏿,pinching hand: dark skin tone,People & Body,hand-fingers-partial,pinch,,
✌️,victory hand,People & Body,hand-fingers-partial,victory,,
✌🏻,victory hand: light skin tone,People & Body,hand-fingers-partial,victory,,
✌🏼,victory hand: medium-light skin tone,People & Body,hand-fingers-partial,victory,,
✌🏽,victory hand: medium skin tone,People & Body,hand-fingers-partial,victory,,
✌🏾,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial,victory,,
✌🏿,victory hand: dark skin tone,People & Body,hand-fingers-partial,victory,,
🤞,crossed fingers,People & Body,hand-fingers-partial,crossed-fingers,,
🤞🏻,crossed fingers: light skin tone,People & Body,hand-fingers-partial,crossed-fingers,,
🤞🏼,crossed fingers: medium-light skin tone,People & Body,hand-fingers-partial,crossed-fingers,,
🤞🏽,crossed fingers: medium skin tone,People & Body,hand-fingers-partial,crossed-fingers,,
🤞🏾,crossed fingers: medium-dark skin tone,People & Body,hand-fingers-partial,crossed-fingers,,
🤞🏿,crossed fingers: dark skin tone,People & Body,hand-fingers-partial,crossed-fingers,,
🫰,hand with index finger and thumb crossed,People & Body,hand-fingers-partial,finger-heart,,
🫰🏻,hand with index finger and thumb crossed: light skin tone,People & Body,hand-fingers-partial,finger-heart,,
🫰🏼,hand with index finger and thumb crossed: medium-light skin tone,People & Body,hand-fingers-partial,finger-heart,,
🫰🏽,hand with index finger and thumb crossed: medium skin tone,People & Body,hand-fingers-partial,finger-heart,,
🫰🏾,hand with index finger and thumb crossed: medium-dark skin tone,People & Body,hand-fingers-partial,finger-heart,,
🫰🏿,hand with index finger and thumb crossed: dark skin tone,People & Body,hand-fingers-partial,finger-heart,,
🤟,love-you gesture,People & Body,hand-fingers-partial,love-you-gesture,,
🤟🏻,love-you gesture: light skin tone,People & Body,hand-fingers-partial,love-you-gesture,,
🤟🏼,love-you gesture: medium-light skin tone,People & Body,hand-fingers-partial,love-you-gesture,,
🤟🏽,love-you gesture: medium skin tone,People & Body,hand-fingers-partial,love-you-gesture,,
🤟🏾,love-you gesture: medium-dark skin tone,People & Body,hand-fingers-partial,love-you-gesture,,
🤟🏿,love-you gesture: dark skin tone,People & Body,hand-fingers-partial,love-you-gesture,,
🤘,sign of the horns,People & Body,hand-fingers-partial,rock-on,,
