lemma,status,emoji,literal,clarity,source,notes
compare,redundant,,,,lemma-map,→ law
court,redundant,,,,lemma-map,→ law
poor,redundant,,,,lemma-map,→ bad
knowledge,redundant,,,,lemma-map,→ know
arm,redundant,,,,lemma-map,→ strong
source,redundant,,,,lemma-map,→ way
employee,redundant,,,,lemma-map,→ worker
manage,redundant,,,,lemma-map,→ use
simply,redundant,,,,lemma-map,→ easy
firm,redundant,,,,lemma-map,→ company
article,redundant,,,,lemma-map,→ news
attack,redundant,,,,lemma-map,→ war
foreign,redundant,,,,lemma-map,→ world
feature,redundant,,,,lemma-map,→ great
factor,redundant,,,,lemma-map,→ use
pretty,redundant,,,,lemma-map,→ beautiful
recently,redundant,,,,lemma-map,→ year
affect,redundant,,,,lemma-map,→ connect
drop,redundant,,,,lemma-map,→ fail
recent,redundant,,,,lemma-map,→ year
relate,redundant,,,,lemma-map,→ connect
official,redundant,,,,lemma-map,→ news
financial,redundant,,,,lemma-map,→ money
miss,redundant,,,,lemma-map,→ find
campaign,redundant,,,,lemma-map,→ vote
private,redundant,,,,lemma-map,→ safe
forget,redundant,,,,lemma-map,→ idea
summer,redundant,,,,lemma-map,→ day
opinion,redundant,,,,lemma-map,→ idea
park,redundant,,,,lemma-map,→ nature
represent,redundant,,,,lemma-map,→ perform
manager,redundant,,,,lemma-map,→ use
international,redundant,,,,lemma-map,→ world
contain,redundant,,,,lemma-map,→ get
notice,redundant,,,,lemma-map,→ look
wonder,redundant,,,,lemma-map,→ ask
structure,redundant,,,,lemma-map,→ government
section,redundant,,,,lemma-map,→ part
exactly,redundant,,,,lemma-map,→ sure
paint,redundant,,,,lemma-map,→ art
press,redundant,,,,lemma-map,→ news
necessary,redundant,,,,lemma-map,→ need
region,redundant,,,,lemma-map,→ map
growth,redundant,,,,lemma-map,→ life
evening,redundant,,,,lemma-map,→ bridge
influence,redundant,,,,lemma-map,→ connect
respect,redundant,,,,lemma-map,→ look
various,redundant,,,,lemma-map,→ different
thus,redundant,,,,lemma-map,→ calculate
skill,redundant,,,,lemma-map,→ strong
attempt,redundant,,,,lemma-map,→ try
simple,redundant,,,,lemma-map,→ easy
average,redundant,,,,lemma-map,→ score
stock,redundant,,,,lemma-map,→ increase
management,redundant,,,,lemma-map,→ use
character,redundant,,,,lemma-map,→ perform
hit,redundant,,,,lemma-map,→ happen
establish,redundant,,,,lemma-map,→ government
final,redundant,,,,lemma-map,→ end
economy,redundant,,,,lemma-map,→ increase
fit,redundant,,,,lemma-map,→ part
function,redundant,,,,lemma-map,→ use
yesterday,redundant,,,,lemma-map,→ year
image,redundant,,,,lemma-map,→ picture
size,redundant,,,,lemma-map,→ long
behavior,redundant,,,,lemma-map,→ run
addition,redundant,,,,lemma-map,→ add
determine,redundant,,,,lemma-map,→ know
population,redundant,,,,lemma-map,→ people
environment,redundant,,,,lemma-map,→ nature
production,redundant,,,,lemma-map,→ industry
contract,redundant,,,,lemma-map,→ story
player,redundant,,,,lemma-map,→ game
comment,redundant,,,,lemma-map,→ tell
enter,redundant,,,,lemma-map,→ leave
occur,redundant,,,,lemma-map,→ happen
alone,redundant,,,,lemma-map,→ one
significant,redundant,,,,lemma-map,→ important
drug,redundant,,,,lemma-map,→ health
series,redundant,,,,lemma-map,→ read
direct,redundant,,,,lemma-map,→ way
tomorrow,redundant,,,,lemma-map,→ year
director,redundant,,,,lemma-map,→ leader
clearly,redundant,,,,lemma-map,→ clear
lack,redundant,,,,lemma-map,→ find
review,redundant,,,,lemma-map,→ look
depend,redundant,,,,lemma-map,→ join
race,redundant,,,,lemma-map,→ run
recognize,redundant,,,,lemma-map,→ know
purpose,redundant,,,,lemma-map,→ target
department,redundant,,,,lemma-map,→ company
gain,redundant,,,,lemma-map,→ increase
college,redundant,,,,lemma-map,→ learn
argue,redundant,,,,lemma-map,→ debate
holiday,redundant,,,,lemma-map,→ celebrate
mark,redundant,,,,lemma-map,→ draw
achieve,redundant,,,,lemma-map,→ success
item,redundant,,,,lemma-map,→ thing
prove,redundant,,,,lemma-map,→ true
season,redundant,,,,lemma-map,→ year
stuff,redundant,,,,lemma-map,→ thing
method,redundant,,,,lemma-map,→ way
analysis,redundant,,,,lemma-map,→ score
election,redundant,,,,lemma-map,→ vote
military,redundant,,,,lemma-map,→ war
club,redundant,,,,lemma-map,→ government
movie,redundant,,,,lemma-map,→ show
discussion,redundant,,,,lemma-map,→ tell
sorry,redundant,,,,lemma-map,→ sad
challenge,redundant,,,,lemma-map,→ hard
nation,redundant,,,,lemma-map,→ world
nearly,redundant,,,,lemma-map,→ place
statement,redundant,,,,lemma-map,→ announce
introduce,redundant,,,,lemma-map,→ start
advantage,redundant,,,,lemma-map,→ increase
ready,redundant,,,,lemma-map,→ easy
marry,redundant,,,,lemma-map,→ marriage
strike,redundant,,,,lemma-map,→ happen
mile,redundant,,,,lemma-map,→ long
seek,redundant,,,,lemma-map,→ find
ability,redundant,,,,lemma-map,→ strong
unit,redundant,,,,lemma-map,→ science
card,redundant,,,,lemma-map,→ payment
quickly,redundant,,,,lemma-map,→ fast
agreement,redundant,,,,lemma-map,→ agree
release,redundant,,,,lemma-map,→ open
tax,redundant,,,,lemma-map,→ payment
capital,redundant,,,,lemma-map,→ government
popular,redundant,,,,lemma-map,→ great
aim,redundant,,,,lemma-map,→ target
serious,redundant,,,,lemma-map,→ worry
degree,redundant,,,,lemma-map,→ learn
pull,redundant,,,,lemma-map,→ wide
husband,redundant,,,,lemma-map,→ guy
access,redundant,,,,lemma-map,→ open
movement,redundant,,,,lemma-map,→ run
treat,redundant,,,,lemma-map,→ health
loss,redundant,,,,lemma-map,→ fail
modern,redundant,,,,lemma-map,→ new
pressure,redundant,,,,lemma-map,→ problem
treatment,redundant,,,,lemma-map,→ health
conference,redundant,,,,lemma-map,→ company
supply,redundant,,,,lemma-map,→ money
village,redundant,,,,lemma-map,→ city
worth,redundant,,,,lemma-map,→ value
natural,redundant,,,,lemma-map,→ nature
express,redundant,,,,lemma-map,→ announce
indicate,redundant,,,,lemma-map,→ announce
attend,redundant,,,,lemma-map,→ service
brother,redundant,,,,lemma-map,→ guy
investment,redundant,,,,lemma-map,→ invest
organize,redundant,,,,lemma-map,→ plan
trip,redundant,,,,lemma-map,→ travel
promise,redundant,,,,lemma-map,→ agree
potential,redundant,,,,lemma-map,→ maybe
energy,redundant,,,,lemma-map,→ power
trouble,redundant,,,,lemma-map,→ problem
relation,redundant,,,,lemma-map,→ connect
touch,redundant,,,,lemma-map,→ take
file,redundant,,,,lemma-map,→ document
middle,redundant,,,,lemma-map,→ between
suffer,redundant,,,,lemma-map,→ pain
strategy,redundant,,,,lemma-map,→ plan
deep,redundant,,,,lemma-map,→ ocean
tend,redundant,,,,lemma-map,→ follow
advance,redundant,,,,lemma-map,→ increase
fill,redundant,,,,lemma-map,→ get
network,redundant,,,,lemma-map,→ join
generally,redundant,,,,lemma-map,→ world
operation,redundant,,,,lemma-map,→ use
match,redundant,,,,lemma-map,→ part
avoid,redundant,,,,lemma-map,→ never
normal,redundant,,,,lemma-map,→ easy
associate,redundant,,,,lemma-map,→ join
positive,redundant,,,,lemma-map,→ like
box,redundant,,,,lemma-map,→ get
huge,redundant,,,,lemma-map,→ high
message,redundant,,,,lemma-map,→ note
instance,redundant,,,,lemma-map,→ solution
style,redundant,,,,lemma-map,→ art
push,redundant,,,,lemma-map,→ take
quarter,redundant,,,,lemma-map,→ half
assume,redundant,,,,lemma-map,→ idea
successful,redundant,,,,lemma-map,→ success
doubt,redundant,,,,lemma-map,→ worry
competition,redundant,,,,lemma-map,→ success
theory,redundant,,,,lemma-map,→ idea
propose,redundant,,,,lemma-map,→ volunteer
reference,redundant,,,,lemma-map,→ fact
argument,redundant,,,,lemma-map,→ debate
adult,redundant,,,,lemma-map,→ someone
pattern,redundant,,,,lemma-map,→ part
application,redundant,,,,lemma-map,→ apply
obviously,redundant,,,,lemma-map,→ obvious
bill,redundant,,,,lemma-map,→ payment
search,redundant,,,,lemma-map,→ find
central,redundant,,,,lemma-map,→ target
career,redundant,,,,lemma-map,→ work
throughout,redundant,,,,lemma-map,→ world
profit,redundant,,,,lemma-map,→ money
guess,redundant,,,,lemma-map,→ idea
fun,redundant,,,,lemma-map,→ happy
resource,redundant,,,,lemma-map,→ tool
disease,redundant,,,,lemma-map,→ health
balance,redundant,,,,lemma-map,→ law
damage,redundant,,,,lemma-map,→ break
basis,redundant,,,,lemma-map,→ wall
author,redundant,,,,lemma-map,→ write
basic,redundant,,,,lemma-map,→ wall
encourage,redundant,,,,lemma-map,→ like
operate,redundant,,,,lemma-map,→ use
reflect,redundant,,,,lemma-map,→ idea
exercise,redundant,,,,lemma-map,→ run
useful,redundant,,,,lemma-map,→ tool
restaurant,redundant,,,,lemma-map,→ dinner
income,redundant,,,,lemma-map,→ money
property,redundant,,,,lemma-map,→ home
previous,redundant,,,,lemma-map,→ return
imagine,redundant,,,,lemma-map,→ idea
okay,redundant,,,,lemma-map,→ easy
define,redundant,,,,lemma-map,→ note
conclusion,redundant,,,,lemma-map,→ result
clock,redundant,,,,lemma-map,→ now
weekend,redundant,,,,lemma-map,→ year
professional,redundant,,,,lemma-map,→ work
memory,redundant,,,,lemma-map,→ know
song,redundant,,,,lemma-map,→ music
object,redundant,,,,lemma-map,→ thing
credit,redundant,,,,lemma-map,→ payment
discover,redundant,,,,lemma-map,→ find
dead,redundant,,,,lemma-map,→ death
afternoon,redundant,,,,lemma-map,→ day
prefer,redundant,,,,lemma-map,→ like
extend,redundant,,,,lemma-map,→ long
possibility,redundant,,,,lemma-map,→ maybe
direction,redundant,,,,lemma-map,→ way
facility,redundant,,,,lemma-map,→ company
variety,redundant,,,,lemma-map,→ different
daily,redundant,,,,lemma-map,→ year
screen,redundant,,,,lemma-map,→ show
track,redundant,,,,lemma-map,→ follow
completely,redundant,,,,lemma-map,→ lot
responsibility,redundant,,,,lemma-map,→ law
original,redundant,,,,lemma-map,→ new
sister,redundant,,,,lemma-map,→ lady
dream,redundant,,,,lemma-map,→ idea
university,redundant,,,,lemma-map,→ learn
easily,redundant,,,,lemma-map,→ easy
agency,redundant,,,,lemma-map,→ company
garden,redundant,,,,lemma-map,→ plant
candidate,redundant,,,,lemma-map,→ vote
weight,redundant,,,,lemma-map,→ law
legal,redundant,,,,lemma-map,→ law
proposal,redundant,,,,lemma-map,→ plan
version,redundant,,,,lemma-map,→ change
conversation,redundant,,,,lemma-map,→ tell
magazine,redundant,,,,lemma-map,→ news
shape,redundant,,,,lemma-map,→ square
sea,redundant,,,,lemma-map,→ ocean
immediately,redundant,,,,lemma-map,→ power
welcome,redundant,,,,lemma-map,→ hello
communication,redundant,,,,lemma-map,→ tell
traditional,redundant,,,,lemma-map,→ story
replace,redundant,,,,lemma-map,→ change
suddenly,redundant,,,,lemma-map,→ happen
generation,redundant,,,,lemma-map,→ parent
estimate,redundant,,,,lemma-map,→ calculate
favorite,redundant,,,,lemma-map,→ great
difficulty,redundant,,,,lemma-map,→ hard
purchase,redundant,,,,lemma-map,→ buy
independent,redundant,,,,lemma-map,→ free
recommend,redundant,,,,lemma-map,→ like
majority,redundant,,,,lemma-map,→ lot
request,redundant,,,,lemma-map,→ want
rich,redundant,,,,lemma-map,→ money
none,redundant,,,,lemma-map,→ never
budget,redundant,,,,lemma-map,→ money
famous,redundant,,,,lemma-map,→ great
appropriate,redundant,,,,lemma-map,→ sure
warm,redundant,,,,lemma-map,→ heat
count,redundant,,,,lemma-map,→ number
scene,redundant,,,,lemma-map,→ picture
writer,redundant,,,,lemma-map,→ write
content,redundant,,,,lemma-map,→ paper
prevent,redundant,,,,lemma-map,→ never
invite,redundant,,,,lemma-map,→ mail
mix,redundant,,,,lemma-map,→ different
element,redundant,,,,lemma-map,→ science
effective,redundant,,,,lemma-map,→ target
admit,redundant,,,,lemma-map,→ leave
telephone,redundant,,,,lemma-map,→ call
copy,redundant,,,,lemma-map,→ paper
committee,redundant,,,,lemma-map,→ people
aware,redundant,,,,lemma-map,→ look
advice,redundant,,,,lemma-map,→ solution
handle,redundant,,,,lemma-map,→ take
trial,redundant,,,,lemma-map,→ test
