emoji,name,concept,concept_source,iconic,emojese,codepoints,status,group,subgroup
🫳🏽,palm down hand: medium skin tone,,,,,1FAF3 1F3FD,fully-qualified,People & Body,hand-fingers-open
🫳🏾,palm down hand: medium-dark skin tone,,,,,1FAF3 1F3FE,fully-qualified,People & Body,hand-fingers-open
🫳🏿,palm down hand: dark skin tone,,,,,1FAF3 1F3FF,fully-qualified,People & Body,hand-fingers-open
🫴,palm up hand,,,,,1FAF4,fully-qualified,People & Body,hand-fingers-open
🫴🏻,palm up hand: light skin tone,,,,,1FAF4 1F3FB,fully-qualified,People & Body,hand-fingers-open
🫴🏼,palm up hand: medium-light skin tone,,,,,1FAF4 1F3FC,fully-qualified,People & Body,hand-fingers-open
🫴🏽,palm up hand: medium skin tone,,,,,1FAF4 1F3FD,fully-qualified,People & Body,hand-fingers-open
🫴🏾,palm up hand: medium-dark skin tone,,,,,1FAF4 1F3FE,fully-qualified,People & Body,hand-fingers-open
🫴🏿,palm up hand: dark skin tone,,,,,1FAF4 1F3FF,fully-qualified,People & Body,hand-fingers-open
🫷,leftwards pushing hand,,,,,1FAF7,fully-qualified,People & Body,hand-fingers-open
🫷🏻,leftwards pushing hand: light skin tone,,,,,1FAF7 1F3FB,fully-qualified,People & Body,hand-fingers-open
🫷🏼,leftwards pushing hand: medium-light skin tone,,,,,1FAF7 1F3FC,fully-qualified,People & Body,hand-fingers-open
🫷🏽,leftwards pushing hand: medium skin tone,,,,,1FAF7 1F3FD,fully-qualified,People & Body,hand-fingers-open
🫷🏾,leftwards pushing hand: medium-dark skin tone,,,,,1FAF7 1F3FE,fully-qualified,People & Body,hand-fingers-open
🫷🏿,leftwards pushing hand: dark skin tone,,,,,1FAF7 1F3FF,fully-qualified,People & Body,hand-fingers-open
🫸,rightwards pushing hand,,,,,1FAF8,fully-qualified,People & Body,hand-fingers-open
🫸🏻,rightwards pushing hand: light skin tone,,,,,1FAF8 1F3FB,fully-qualified,People & Body,hand-fingers-open
🫸🏼,rightwards pushing hand: medium-light skin tone,,,,,1FAF8 1F3FC,fully-qualified,People & Body,hand-fingers-open
🫸🏽,rightwards pushing hand: medium skin tone,,,,,1FAF8 1F3FD,fully-qualified,People & Body,hand-fingers-open
🫸🏾,rightwards pushing hand: medium-dark skin tone,,,,,1FAF8 1F3FE,fully-qualified,People & Body,hand-fingers-open
🫸🏿,rightwards pushing hand: dark skin tone,,,,,1FAF8 1F3FF,fully-qualified,People & Body,hand-fingers-open
👌,OK hand,literally,iconic,literally,,1F44C,fully-qualified,People & Body,hand-fingers-partial
👌🏻,OK hand: light skin tone,,,,,1F44C 1F3FB,fully-qualified,People & Body,hand-fingers-partial
👌🏼,OK hand: medium-light skin tone,,,,,1F44C 1F3FC,fully-qualified,People & Body,hand-fingers-partial
👌🏽,OK hand: medium skin tone,,,,,1F44C 1F3FD,fully-qualified,People & Body,hand-fingers-partial
👌🏾,OK hand: medium-dark skin tone,,,,,1F44C 1F3FE,fully-qualified,People & Body,hand-fingers-partial
👌🏿,OK hand: dark skin tone,,,,,1F44C 1F3FF,fully-qualified,People & Body,hand-fingers-partial
🤌,pinched fingers,,,,,1F90C,fully-qualified,People & Body,hand-fingers-partial
🤌🏻,pinched fingers: light skin tone,,,,,1F90C 1F3FB,fully-qualified,People & Body,hand-fingers-partial
🤌🏼,pinched fingers: medium-light skin tone,,,,,1F90C 1F3FC,fully-qualified,People & Body,hand-fingers-partial
🤌🏽,pinched fingers: medium skin tone,,,,,1F90C 1F3FD,fully-qualified,People & Body,hand-fingers-partial
🤌🏾,pinched fingers: medium-dark skin tone,,,,,1F90C 1F3FE,fully-qualified,People & Body,hand-fingers-partial
🤌🏿,pinched fingers: dark skin tone,,,,,1F90C 1F3FF,fully-qualified,People & Body,hand-fingers-partial
🤏,pinching hand,short,emojese,alittle,short,1F90F,fully-qualified,People & Body,hand-fingers-partial
🤏🏻,pinching hand: light skin tone,,,,,1F90F 1F3FB,fully-qualified,People & Body,hand-fingers-partial
🤏🏼,pinching hand: medium-light skin tone,,,,,1F90F 1F3FC,fully-qualified,People & Body,hand-fingers-partial
🤏🏽,pinching hand: medium skin tone,,,,,1F90F 1F3FD,fully-qualified,People & Body,hand-fingers-partial
🤏🏾,pinching hand: medium-dark skin tone,,,,,1F90F 1F3FE,fully-qualified,People & Body,hand-fingers-partial
🤏🏿,pinching hand: dark skin tone,,,,,1F90F 1F3FF,fully-qualified,People & Body,hand-fingers-partial
✌️,victory hand,victorysign,iconic,victorysign,,270C FE0F,fully-qualified,People & Body,hand-fingers-partial
✌🏻,victory hand: light skin tone,,,,,270C 1F3FB,fully-qualified,People & Body,hand-fingers-partial
✌🏼,victory hand: medium-light skin tone,,,,,270C 1F3FC,fully-qualified,People & Body,hand-fingers-partial
✌🏽,victory hand: medium skin tone,,,,,270C 1F3FD,fully-qualified,People & Body,hand-fingers-partial
✌🏾,victory hand: medium-dark skin tone,,,,,270C 1F3FE,fully-qualified,People & Body,hand-fingers-partial
✌🏿,victory hand: dark skin tone,,,,,270C 1F3FF,fully-qualified,People & Body,hand-fingers-partial
🤞,crossed fingers,crossed,iconic,crossed,,1F91E,fully-qualified,People & Body,hand-fingers-partial
🤞🏻,crossed fingers: light skin tone,,,,,1F91E 1F3FB,fully-qualified,People & Body,hand-fingers-partial
🤞🏼,crossed fingers: medium-light skin tone,,,,,1F91E 1F3FC,fully-qualified,People & Body,hand-fingers-partial
🤞🏽,crossed fingers: medium skin tone,,,,,1F91E 1F3FD,fully-qualified,People & Body,hand-fingers-partial
🤞🏾,crossed fingers: medium-dark skin tone,,,,,1F91E 1F3FE,fully-qualified,People & Body,hand-fingers-partial
🤞🏿,crossed fingers: dark skin tone,,,,,1F91E 1F3FF,fully-qualified,People & Body,hand-fingers-partial
🫰,hand with index finger and thumb crossed,,,,,1FAF0,fully-qualified,People & Body,hand-fingers-partial
🫰🏻,hand with index finger and thumb crossed: light skin tone,,,,,1FAF0 1F3FB,fully-qualified,People & Body,hand-fingers-partial
🫰🏼,hand with index finger and thumb crossed: medium-light skin tone,,,,,1FAF0 1F3FC,fully-qualified,People & Body,hand-fingers-partial
